0,65615,31347,51102,1.5346e+05,47054,61565,38466,75873,1.381e+05,1.0933e+05,53981,61626,83818,76147,94190
65615,0,43888,46053,1.4712e+05,38600,56914,45347,85633,1.4163e+05,1.1184e+05,62229,60766,71354,71550,95948
31347,43888,4954.2,29129,1.4751e+05,34610,50506,24262,69743,1.3382e+05,1.0656e+05,48388,54283,75865,66229,91244
51102,46053,29129,5928.1,1.0006e+05,32754,28907,21674,39041,94380,72206,32153,36050,53161,42210,58314
1.5346e+05,1.4712e+05,1.4751e+05,1.0006e+05,6132.2,93732,52906,87760,42696,20553,21317,60443,55859,36473,37552,25583
47054,38600,34610,32754,93732,6398.8,31590,20307,43083,79635,61694,25498,31250,37879,30092,47073
61565,56914,50506,28907,52906,31590,7106.7,25674,26216,51668,34086,21870,22517,24889,19996,28512
38466,45347,24262,21674,87760,20307,25674,6163.4,31974,72847,54603,23603,26219,39101,29689,43874
75873,85633,69743,39041,42696,43083,26216,31974,8027.9,32102,23625,22662,24108,26179,19596,19649
1.381e+05,1.4163e+05,1.3382e+05,94380,20553,79635,51668,72847,32102,6367.4,19094,47317,49690,33424,27998,17867
1.0933e+05,1.1184e+05,1.0656e+05,72206,21317,61694,34086,54603,23625,19094,6794,39470,31108,23661,22683,16987
53981,62229,48388,32153,60443,25498,21870,23603,22662,47317,39470,8430.6,22562,24744,18254,22468
61626,60766,54283,36050,55859,31250,22517,26219,24108,49690,31108,22562,9005.4,17645,22314,25485
83818,71354,75865,53161,36473,37879,24889,39101,26179,33424,23661,24744,17645,7768,17741,17571
76147,71550,66229,42210,37552,30092,19996,29689,19596,27998,22683,18254,22314,17741,6849.4,15507
94190,95948,91244,58314,25583,47073,28512,43874,19649,17867,16987,22468,25485,17571,15507,7935.1
